 case_id,province,city,group,infection_case,confirmed,NaN,longitude
1000001,Seoul,Yongsan-gu,TRUE,Itaewon Clubs,139,37.538621,126.992652
1000002,Seoul,Gwanak-gu,TRUE,Richway,119,37.48208,126.901384
1000003,Seoul,Guro-gu,TRUE,Guro-gu Call Center,95,37.508163,126.884387
1000004,Seoul,Yangcheon-gu,TRUE,Yangcheon Table Tennis Club,43,37.546061,126.874209
1000005,Seoul,Dobong-gu,TRUE,Day Care Center,43,37.679422,127.044374
1000006,Seoul,Guro-gu,TRUE,Manmin Central Church,41,37.481059,126.894343
1000007,Seoul,from other city,TRUE,SMR Newly Planted Churches Group,36,NaN,NaN
1000008,Seoul,Dongdaemun-gu,TRUE,Dongan Church,17,37.592888,127.056766
1000009,Seoul,from other city,TRUE,Coupang Logistics Center,25,NaN,NaN
1000010,Seoul,Gwanak-gu,TRUE,Wangsung Church,30,37.481735,126.930121
1000011,Seoul,Eunpyeong-gu,TRUE,Eunpyeong St. Mary's Hospital,14,37.63369,126.9165
1000012,Seoul,Seongdong-gu,TRUE,Seongdong-gu APT,13,37.55713,127.0403
1000013,Seoul,Jongno-gu,TRUE,Jongno Community Center,10,37.57681,127.006
1000014,Seoul,Gangnam-gu,TRUE,Samsung Medical Center,7,37.48825,127.08559
1000015,Seoul,Jung-gu,TRUE,Jung-gu Fashion Company,7,37.562405,126.984377
1000016,Seoul,Seodaemun-gu,TRUE,Yeonana News Class,5,37.558147,126.943799
1000017,Seoul,Jongno-gu,TRUE,Korea Campus Crusade of Christ,7,37.594782,126.968022
1000018,Seoul,Gangnam-gu,TRUE,Gangnam Yeoksam-dong gathering,6,NaN,NaN
1000019,Seoul,from other city,TRUE,Daejeon door-to-door sales,1,NaN,NaN
1000020,Seoul,Geumcheon-gu,TRUE,Geumcheon-gu rice milling machine manufacture,6,NaN,NaN
1000021,Seoul,from other city,TRUE,Shincheonji Church,8,NaN,NaN
1000022,Seoul,from other city,TRUE,Guri Collective Infection,5,NaN,NaN
1000023,Seoul,Jung-gu,TRUE,KB Life Insurance,13,37.560899,126.966998
1000024,Seoul,Yeongdeungpo-gu,TRUE,Yeongdeungpo Learning Institute,3,37.520846,126.931278
1000025,Seoul,Gangnam-gu,TRUE,Gangnam Dongin Church,1,37.522331,127.057388
1000026,Seoul,Yangcheon-gu,TRUE,Biblical Language study meeting,3,37.524623,126.843118
1000027,Seoul,Seocho-gu,TRUE,Seocho Family,5,NaN,NaN
1000028,Seoul,from other city,TRUE,Anyang Gunpo Pastors Group,1,NaN,NaN
1000029,Seoul,Gangnam-gu,TRUE,Samsung Fire & Marine Insurance,4,37.498279,127.030139
1000030,Seoul,Gangseo-gu,TRUE,SJ Investment Call Center,0,37.559649,126.835102
1000031,Seoul,from other city,TRUE,Yongin Brothers,4,NaN,NaN
1000032,Seoul,Jung-gu,TRUE,Seoul City Hall Station safety worker,3,37.565699,126.977079
1000033,Seoul,from other city,TRUE,Uiwang Logistics Center,2,NaN,NaN
1000034,Seoul,NaN,TRUE,Orange Life,1,NaN,NaN
1000035,Seoul,Guro-gu,TRUE,Daezayeon Korea,3,37.486837,126.893163
1000036,Seoul,NaN,FALSE,overseas inflow,298,NaN,NaN
1000037,Seoul,NaN,FALSE,contact with patient,162,NaN,NaN
1000038,Seoul,NaN,FALSE,etc,100,NaN,NaN
